,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
330,DAL,McKinley Wright IV,23,PG,24,71,192,Colorado,--
331,HOU,Josh Christopher,9,SG,21,76,215,Arizona State,"$2,372,160"
332,HOU,Darius Days,5,F,23,79,245,LSU,--
333,HOU,Tari Eason,17,F,21,80,215,LSU,"$3,309,160"
334,HOU,Usman Garuba,16,PF,20,80,229,--,"$2,471,160"
335,HOU,Danny Green,14,G,35,78,215,North Carolina,"$10,000,000"
336,HOU,Jalen Green,4,SG,21,76,186,--,"$9,441,840"
337,HOU,Justin Holiday,8,SF,33,78,180,Washington,"$6,292,440"
338,HOU,Trevor Hudgins,12,G,23,72,180,Northwest Missouri State,--
339,HOU,Frank Kaminsky,0,PF,29,84,240,Wisconsin,"$1,836,090"
340,HOU,Boban Marjanovic,51,C,34,88,290,--,"$3,500,000"
341,HOU,Kenyon Martin Jr.,6,F,22,79,215,--,"$1,782,621"
342,HOU,Daishen Nix,15,SG,20,76,226,--,"$1,563,518"
343,HOU,Kevin Porter Jr.,3,SG,22,76,203,USC,"$3,217,631"
344,HOU,Alperen Sengun,28,C,20,83,243,--,"$3,375,480"
345,HOU,Jabari Smith Jr.,1,PF,19,83,220,Auburn,"$8,882,640"
346,HOU,Jae'Sean Tate,8,SF,27,77,230,Ohio State,"$7,065,217"
347,HOU,John Wall,11,PG,32,75,210,Kentucky,"$6,479,000"
348,HOU,TyTy Washington Jr.,0,G,21,75,195,Kentucky,"$2,210,040"
349,DET,Marvin Bagley III,35,PF,23,82,235,Duke,"$12,500,000"
350,DET,Buddy Boeheim,27,F,23,78,205,Syracuse,--
351,DET,Bojan Bogdanovic,44,SF,33,79,226,--,"$19,550,000"
352,DET,Alec Burks,5,SG,31,78,214,Colorado,"$10,012,800"
353,DET,Cade Cunningham,2,PG,21,79,220,Oklahoma State,"$10,552,800"
354,DET,Hamidou Diallo,6,SG,24,77,202,Kentucky,"$5,200,000"
355,DET,Jalen Duren,0,C,19,83,250,Memphis,"$4,124,280"
